text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
"심상정이나 정의당 같은 존재가 있어서 
이정도 한거같음",0.04,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.07,0.81
표미새 드립이 진짜 웃기고 빡침ㅋㅋㅋㅋㅋ 막타만 치면 이기는 게임.. 심상정 두고 정의당은 왜 에휴 에휴휴ㅋㅋ,0.07,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.52,0.2
@shovelworker 전 제가 정의당 탈당하고 민주당 입당할줄은 더 몰랐습니다.,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.06,0.92
@janghyeyeong 다음 차기대선은 더민주 박지현 vs 정의당 장혜영이다. 이 선택지로 기쁨에 괴롭고 싶다.,0.03,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.07,0.85
"그럼에도 올해 정치 후원금은 정의당을 할거다. 당원으로 당비를 낼 입장에 서고 싶진 않고.
선거 지나고 페미니즘, 여성주의, 차별에 더불어민주당이 그 공약들을 지킬지는 믿음이 안간다.",0.37,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.09,0.55
@Kr_Justice 정의당 심상정에게 소신투표♥,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.07,0.89
"@sangjungsim @janghyeyeong 지난 대선에서도 표를 드렸었고,
당원이 아님에도 2020펀드로도 후원했었습니다.
온라인 진보 커뮤니티에서 ‘즈엉이당’이란 멸칭으로 불리울 때도 불쾌해서 오히려 커뮤니티 접속 빈도를 줄였는데요.
정의당은 어디로 가고 있는지, 제 정치적 대변자가 될 수 있는지 지금은 의아합니다.",0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.11,0.74
더라이브 정의당 대표 실화임? 여가부가 쓸데없는짓 했다는데 그 예시가 청소년 게임 셧다운 ㅋㅋㅋ 에구 님아..!!,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.27,0.39
"심상정 정의당이
자기만의
도그마에 빠진것이
윤석열 적폐세력을 잉태하였습니다

그것이 원죄입니다
심상정은 
사죄가 먼저입니다",0.09,0.01,0.01,0.02,0.01,0.01,0.01,0.05,0.38,0.16
"[D-day, 선택과 집중]

진보는
개혁의 선순환이  꾸준히 반복되어야 하는데

심상정, 왜! 
그대만 10수년동안
변하지 않은 정의당후보여만 하는지
그대가 답을 할 차례입니다

그대의 
한표 한표 구걸이
국민의 가슴을 헤집고
있습니다

우리국민의
위대한 
선택과 집중이 절실합니다

☆적폐청산☆",0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.22,0.64
